lokasi;Sentimen;komentar;clean;tokenize;normalize;stopword;stemming
Air terjun toroan;Positif;Oke;Oke;['oke'];['oke'];['oke'];['oke']
Air terjun toroan;Positif;Indah sekali.. Tempatnya bersih dan sudah dikelola dengan baik. Kesini sewaktu musim kemarau, aliran air terjunnya cukup deras dan benar2 berwarna tosca 😍. Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah, …;Indah sekali Tempatnya bersih dan sudah dikelola dengan baik Kesini sewaktu musim kemarau aliran air terjunnya cukup deras dan benar berwarna tosca Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah;['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah'];['indah', 'tempatnya', 'bersih', 'dikelola', 'kesini', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'deras', 'berwarna', 'tosca', 'cafe', 'att', 'menyediakan', 'menu', 'masakan', 'view', 'pantai', 'indah'];['indah', 'tempat', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'air', 'terjun', 'deras', 'warna', 'tosca', 'cafe', 'att', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah']
Air terjun toroan;Positif;Bagussss banget... lokasi nya dari sampang kota sekitar 1.5 jam di tempuh dg mobil. Tiket masuk cuma 5rb/org. Parkir mobil 5rb. Deket sama tempat makan view nya juga bagus. Makanan nya juga enak. Rekomendasi ikan bakar, sama ikan bumbu 3 …;Bagussss banget lokasi nya dari sampang kota sekitar jam di tempuh dg mobil Tiket masuk cuma rb org Parkir mobil rb Deket sama tempat makan view nya juga bagus Makanan nya juga enak Rekomendasi ikan bakar sama ikan bumbu;['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', 'rb', 'org', 'parkir', 'mobil', 'rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu'];['bagus', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', 'jam', 'di', 'tempuh', 'dengan', 'mobil', 'tiket', 'masuk', 'cuma', 'ribu', 'orang', 'parkir', 'mobil', 'ribu', 'dekat', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu'];['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'ribu', 'orang', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makanan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu'];['bagus', 'banget', 'lokasi', 'sampang', 'kota', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'ribu', 'orang', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu']
Air terjun toroan;Positif;untuk view air terjunnya bagus sekalii;untuk view air terjunnya bagus sekalii;['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii'];['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekali'];['view', 'air', 'terjunnya', 'bagus'];['view', 'air', 'terjun', 'bagus']
Air terjun toroan;Positif;View nya bagus sekali apalagi pas sowrey² 😍😍 …;View nya bagus sekali apalagi pas sowrey;['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey'];['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey'];['view', 'bagus', 'pas', 'sowrey'];['view', 'bagus', 'pas', 'sowrey']
Air terjun toroan;Positif;Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura;Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura;['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'berkunjung', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'kunjung', 'pulau', 'madura']
Air terjun toroan;Netral;Desa Karang Anyar  Bangkit;Desa Karang Anyar Bangkit;['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit']
Air terjun toroan;Negatif;2/6/21. Pemandangan di sini bagus karena memadukan air terjun dan laut. Harga tiket masuknya murah, 5k/orang. Tapi perawatan dan pengembangannya kurang. Banyak sampah. Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek, 5k/motor R2. Kalau ada yang mau ditanya, silakan. Jangan lupa like juga.;Pemandangan di sini bagus karena memadukan air terjun dan laut Harga tiket masuknya murah k orang Tapi perawatan dan pengembangannya kurang Banyak sampah Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek k motor R Kalau ada yang mau ditanya silakan Jangan lupa like juga;['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'k', 'orang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'k', 'motor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'ke', 'orang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'ke', 'motor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'orang', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'motor', 'r', 'silakan', 'lupa', 'like'];['pandang', 'bagus', 'madu', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'orang', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'motor', 'r', 'sila', 'lupa', 'like']
Air terjun toroan;Positif;"07 november 2020
Unik jg air terjun di pinggir laut
Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim …";november Unik jg air terjun di pinggir laut Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim;['november', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim'];['november', 'unik', 'juga', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim'];['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim'];['november', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'pas', 'musim']
Air terjun toroan;Positif;"Wisata air terjun toroan...
Airnya sungai langsung terjun ke laut...
Tempatnya terawat dan bagus dilihatnya... …";Wisata air terjun toroan Airnya sungai langsung terjun ke laut Tempatnya terawat dan bagus dilihatnya;['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya'];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya'];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya'];['wisata', 'air', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat']
Air terjun toroan;Netral;Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura;Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura;['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
Air terjun toroan;Positif;Viewnya bagus, tempatnya jg nyaman buat family time. Makanannya jg enaak;Viewnya bagus tempatnya jg nyaman buat family time Makanannya jg enaak;['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'juga', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'juga', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'nyaman', 'family', 'time', 'makanannya', 'enaak'];['viewnya', 'bagus', 'tempat', 'nyaman', 'family', 'time', 'makan', 'enaak']
Air terjun toroan;Negatif;Tempatnya bagus gaes y, apalagi klo lgi bukan musim penghujan,,, klo lgi musim hujan airnya coklat gk bening gaesss...;Tempatnya bagus gaes y apalagi klo lgi bukan musim penghujan klo lgi musim hujan airnya coklat gk bening gaesss;['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'ya', 'apalagi', 'kalo', 'lagi', 'bukan', 'musim', 'penghujan', 'kalo', 'lagi', 'musim', 'hujan', 'airnya', 'coklat', 'enggak', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'musim', 'penghujan', 'musim', 'hujan', 'airnya', 'coklat', 'bening', 'gaesss'];['tempat', 'bagus', 'gaes', 'musim', 'hujan', 'musim', 'hujan', 'air', 'coklat', 'bening', 'gaesss']
Air terjun toroan;Negatif;Bagusss sekali... tapi tetap hal yang perlu di perbaiki adalah sampah.. mari kurangi penggunaan plastik. Thanks;Bagusss sekali tapi tetap hal yang perlu di perbaiki adalah sampah mari kurangi penggunaan plastik Thanks;['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'perbaiki', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'baik', 'sampah', 'mari', 'kurang', 'guna', 'plastik', 'thanks']
Air terjun toroan;Positif;Tempat santai bersama  kelurga dan kerabat. Dengan nuasa alam yang sangat indah dipandang..;Tempat santai bersama kelurga dan kerabat Dengan nuasa alam yang sangat indah dipandang;['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang'];['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']
Air terjun toroan;Negatif;"Tempat Yang Indah....😍😍😍
Tapi Kebersihan Sedikit Perlu/Kurang Terjaga...🙏🙏🙏 …";Tempat Yang Indah Tapi Kebersihan Sedikit Perlu Kurang Terjaga;['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlu', 'kurang', 'terjaga'];['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlu', 'kurang', 'terjaga'];['indah', 'kebersihan', 'terjaga'];['indah', 'bersih', 'jaga']
Air terjun toroan;Netral;Pastikan klo mo kesini pas air lgi pasang, lebih keren.;Pastikan klo mo kesini pas air lgi pasang lebih keren;['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren'];['pastikan', 'kalo', 'mau', 'kesini', 'pas', 'air', 'lagi', 'pasang', 'lebih', 'keren'];['pastikan', 'kesini', 'pas', 'air', 'pasang', 'keren'];['pasti', 'kesini', 'pas', 'air', 'pasang', 'keren']
Air terjun toroan;Positif;tempatnya bagus...cocok untuk wisata keluarga;tempatnya bagus cocok untuk wisata keluarga;['tempatnya', 'bagus', 'cocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'bagus', 'cocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'bagus', 'cocok', 'wisata', 'keluarga'];['tempat', 'bagus', 'cocok', 'wisata', 'keluarga']
Air terjun toroan;Positif;Sangat indah, dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah, karena air terjunnya beda bukan di pegunungan tapi di tepi pantai.;Sangat indah dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah karena air terjunnya beda bukan di pegunungan tapi di tepi pantai;['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai'];['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'pandang', 'indah', 'air', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']
Air terjun toroan;Negatif;Bagus viewnya, hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun, untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu, toilet tersedia;Bagus viewnya hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu toilet tersedia;['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yg', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yg', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yang', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yang', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'tulisan', 'toroan', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'terganggu', 'icon', 'tulisan', 'toilet', 'tersedia'];['bagus', 'viewnya', 'tulis', 'toro', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'ganggu', 'icon', 'tulis', 'toilet', 'sedia']
Air terjun toroan;Positif;Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantai..tiket masuk 5 rb k lokasi air terjun...;Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantai tiket masuk rb k lokasi air terjun;['emang', 'tak', 's', 'alami', 'n', 'sbagus', 'yg', 'dulu', 'tp', 'ttp', 'eksotik', 'n', 'nyaman', 'buat', 'bersantai', 'tiket', 'masuk', 'rb', 'k', 'lokasi', 'air', 'terjun'];['memang', 'tak', 'si', 'alami', 'n', 'sbagus', 'yang', 'dulu', 'tapi', 'tetap', 'eksotik', 'n', 'nyaman', 'buat', 'bersantai', 'tiket', 'masuk', 'ribu', 'ke', 'lokasi', 'air', 'terjun'];['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantai', 'tiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun'];['alami', 'sbagus', 'eksotik', 'nyaman', 'santa', 'tiket', 'masuk', 'ribu', 'lokasi', 'air', 'terjun']
Air terjun toroan;Negatif;Mungkin saya datang di waktu yang salah, karena waktu kesana tempatnya tidak sebagus ekspektasi saya. Juga disana tidak disarankan untuk bermain air, sehingga hanya sekedar objek foto saja;Mungkin saya datang di waktu yang salah karena waktu kesana tempatnya tidak sebagus ekspektasi saya Juga disana tidak disarankan untuk bermain air sehingga hanya sekedar objek foto saja;['mungkin', 'saya', 'datang', 'di', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'air', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja'];['mungkin', 'saya', 'datang', 'di', 'waktu', 'yang', 'salah', 'karena', 'waktu', 'kesana', 'tempatnya', 'tidak', 'sebagus', 'ekspektasi', 'saya', 'juga', 'disana', 'tidak', 'disarankan', 'untuk', 'bermain', 'air', 'sehingga', 'hanya', 'sekedar', 'objek', 'foto', 'saja'];['salah', 'kesana', 'tempatnya', 'sebagus', 'ekspektasi', 'disana', 'disarankan', 'bermain', 'air', 'sekedar', 'objek', 'foto'];['salah', 'kesana', 'tempat', 'bagus', 'ekspektasi', 'sana', 'saran', 'main', 'air', 'dar', 'objek', 'foto']
Air terjun toroan;Negatif;Air terjun toroan adalan wisata alam Madura yg sangat bagus, namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi.;Air terjun toroan adalan wisata alam Madura yg sangat bagus namun masih sangat memerlukan sentuhan tangan pofesional dan investor utk pengembangannya yg lebih bagus lagi;['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yg', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'dan', 'investor', 'utk', 'pengembangannya', 'yg', 'lebih', 'bagus', 'lagi'];['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'yang', 'sangat', 'bagus', 'namun', 'masih', 'sangat', 'memerlukan', 'sentuhan', 'tangan', 'pofesional', 'dan', 'investor', 'untuk', 'pengembangannya', 'yang', 'lebih', 'bagus', 'lagi'];['air', 'terjun', 'toroan', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuhan', 'tangan', 'pofesional', 'investor', 'pengembangannya', 'bagus'];['air', 'terjun', 'toro', 'adalan', 'wisata', 'alam', 'madura', 'bagus', 'sentuh', 'tangan', 'pofesional', 'investor', 'kembang', 'bagus']
Air terjun toroan;Negatif;Bagus buat selfi alami dgn latar airterjun yg keren. Jangan berenang krn dalam sekali;Bagus buat selfi alami dgn latar airterjun yg keren Jangan berenang krn dalam sekali;['bagus', 'buat', 'selfi', 'alami', 'dgn', 'latar', 'airterjun', 'yg', 'keren', 'jangan', 'berenang', 'krn', 'dalam', 'sekali'];['bagus', 'buat', 'selfi', 'alami', 'dengan', 'latar', 'airterjun', 'yang', 'keren', 'jangan', 'berenang', 'karena', 'dalam', 'sekali'];['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'berenang'];['bagus', 'selfi', 'alami', 'latar', 'airterjun', 'keren', 'renang']
