;index;lokasi;Sentimen;komentar;tokenize;clean;normalize;stopword;stemming
10;10;Air terjun toroan;Positif;Oke;['oke'];['oke'];['oke'];['oke'];['oke']
11;11;Air terjun toroan;Positif;Indah sekali.. Tempatnya bersih dan sudah dikelola dengan baik. Kesini sewaktu musim kemarau, aliran air terjunnya cukup deras dan benar2 berwarna tosca 😍. Ada cafe ATT yang menyediakan berbagai menu masakan dengan view pantai yang indah, …;['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar2', 'berwarna', 'tosca', '😍', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah', '…'];['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', '', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah', ''];['indah', 'sekali', 'tempatnya', 'bersih', 'dan', 'sudah', 'dikelola', 'dengan', 'baik', 'kesini', 'sewaktu', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'cukup', 'deras', 'dan', 'benar', 'berwarna', 'tosca', '', 'ada', 'cafe', 'att', 'yang', 'menyediakan', 'berbagai', 'menu', 'masakan', 'dengan', 'view', 'pantai', 'yang', 'indah', ''];['indah', 'tempatnya', 'bersih', 'dikelola', 'kesini', 'musim', 'kemarau', 'aliran', 'air', 'terjunnya', 'deras', 'berwarna', 'tosca', '', 'cafe', 'att', 'menyediakan', 'menu', 'masakan', 'view', 'pantai', 'indah', ''];['indah', 'tempat', 'bersih', 'kelola', 'kesini', 'musim', 'kemarau', 'alir', 'air', 'terjun', 'deras', 'warna', 'tosca', '', 'cafe', 'att', 'sedia', 'menu', 'masakan', 'view', 'pantai', 'indah', '']
12;12;Air terjun toroan;Positif;Bagussss banget... lokasi nya dari sampang kota sekitar 1.5 jam di tempuh dg mobil. Tiket masuk cuma 5rb/org. Parkir mobil 5rb. Deket sama tempat makan view nya juga bagus. Makanan nya juga enak. Rekomendasi ikan bakar, sama ikan bumbu 3 …;['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', '15', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', '5rborg', 'parkir', 'mobil', '5rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu', '3', '…'];['bagussss', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', '', 'jam', 'di', 'tempuh', 'dg', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'rb', 'deket', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu', '', ''];['bagus', 'banget', 'lokasi', 'nya', 'dari', 'sampang', 'kota', 'sekitar', '', 'jam', 'di', 'tempuh', 'dengan', 'mobil', 'tiket', 'masuk', 'cuma', 'rborg', 'parkir', 'mobil', 'ribu', 'dekat', 'sama', 'tempat', 'makan', 'view', 'nya', 'juga', 'bagus', 'makanan', 'nya', 'juga', 'enak', 'rekomendasi', 'ikan', 'bakar', 'sama', 'ikan', 'bumbu', '', ''];['bagus', 'banget', 'lokasi', 'sampang', 'kota', '', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'rborg', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makanan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu', '', ''];['bagus', 'banget', 'lokasi', 'sampang', 'kota', '', 'jam', 'tempuh', 'mobil', 'tiket', 'masuk', 'rborg', 'parkir', 'mobil', 'ribu', 'makan', 'view', 'bagus', 'makan', 'enak', 'rekomendasi', 'ikan', 'bakar', 'ikan', 'bumbu', '', '']
13;13;Air terjun toroan;Positif;untuk view air terjunnya bagus sekalii;['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii'];['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekalii'];['untuk', 'view', 'air', 'terjunnya', 'bagus', 'sekali'];['view', 'air', 'terjunnya', 'bagus'];['view', 'air', 'terjun', 'bagus']
14;14;Air terjun toroan;Positif;View nya bagus sekali apalagi pas sowrey² 😍😍 …;['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey²', '😍😍', '…'];['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey', '', ''];['view', 'nya', 'bagus', 'sekali', 'apalagi', 'pas', 'sowrey', '', ''];['view', 'bagus', 'pas', 'sowrey', '', ''];['view', 'bagus', 'pas', 'sowrey', '', '']
15;15;Air terjun toroan;Positif;Spot lokasi wisata yang wajib kita kunjung ketika berkunjung ke pulau Madura;['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'yang', 'wajib', 'kita', 'kunjung', 'ketika', 'berkunjung', 'ke', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'berkunjung', 'pulau', 'madura'];['spot', 'lokasi', 'wisata', 'wajib', 'kunjung', 'kunjung', 'pulau', 'madura']
16;16;Air terjun toroan;Netral;Desa Karang Anyar  Bangkit;['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit'];['desa', 'karang', 'anyar', 'bangkit']
17;17;Air terjun toroan;Negatif;2/6/21. Pemandangan di sini bagus karena memadukan air terjun dan laut. Harga tiket masuknya murah, 5k/orang. Tapi perawatan dan pengembangannya kurang. Banyak sampah. Harga parkir juga agak mahal untuk ukuran wisata yang hanya satu obyek, 5k/motor R2. Kalau ada yang mau ditanya, silakan. Jangan lupa like juga.;['2621', 'pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', '5korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', '5kmotor', 'r2', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['', 'pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['', 'pemandangan', 'di', 'sini', 'bagus', 'karena', 'memadukan', 'air', 'terjun', 'dan', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'tapi', 'perawatan', 'dan', 'pengembangannya', 'kurang', 'banyak', 'sampah', 'harga', 'parkir', 'juga', 'agak', 'mahal', 'untuk', 'ukuran', 'wisata', 'yang', 'hanya', 'satu', 'obyek', 'kmotor', 'r', 'kalau', 'ada', 'yang', 'mau', 'ditanya', 'silakan', 'jangan', 'lupa', 'like', 'juga'];['', 'pemandangan', 'bagus', 'memadukan', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuknya', 'murah', 'korang', 'perawatan', 'pengembangannya', 'sampah', 'harga', 'parkir', 'mahal', 'ukuran', 'wisata', 'obyek', 'kmotor', 'r', 'silakan', 'lupa', 'like'];['', 'pandang', 'bagus', 'madu', 'air', 'terjun', 'laut', 'harga', 'tiket', 'masuk', 'murah', 'korang', 'awat', 'kembang', 'sampah', 'harga', 'parkir', 'mahal', 'ukur', 'wisata', 'obyek', 'kmotor', 'r', 'sila', 'lupa', 'like']
18;18;Air terjun toroan;Positif;"07 november 2020
Unik jg air terjun di pinggir laut
Saran saya kalau ingin lihat airnya bagus jernih berkunjung kesini pas musim …";['07', 'november', '2020', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim', '…'];['', 'november', '', 'unik', 'jg', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim', ''];['', 'november', '', 'unik', 'juga', 'air', 'terjun', 'di', 'pinggir', 'laut', 'saran', 'saya', 'kalau', 'ingin', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim', ''];['', 'november', '', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'airnya', 'bagus', 'jernih', 'berkunjung', 'kesini', 'pas', 'musim', ''];['', 'november', '', 'unik', 'air', 'terjun', 'pinggir', 'laut', 'saran', 'lihat', 'air', 'bagus', 'jernih', 'kunjung', 'kesini', 'pas', 'musim', '']
19;19;Air terjun toroan;Positif;"Wisata air terjun toroan...
Airnya sungai langsung terjun ke laut...
Tempatnya terawat dan bagus dilihatnya... …";['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya', '…'];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya', ''];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'ke', 'laut', 'tempatnya', 'terawat', 'dan', 'bagus', 'dilihatnya', ''];['wisata', 'air', 'terjun', 'toroan', 'airnya', 'sungai', 'langsung', 'terjun', 'laut', 'tempatnya', 'terawat', 'bagus', 'dilihatnya', ''];['wisata', 'air', 'terjun', 'toro', 'air', 'sungai', 'langsung', 'terjun', 'laut', 'tempat', 'awat', 'bagus', 'lihat', '']
20;20;Air terjun toroan;Netral;Air terjun yang indah dan langsung jatuh di tepi pantai utara Pulau Madura;['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'yang', 'indah', 'dan', 'langsung', 'jatuh', 'di', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura'];['air', 'terjun', 'indah', 'langsung', 'jatuh', 'tepi', 'pantai', 'utara', 'pulau', 'madura']
21;21;Air terjun toroan;Positif;Viewnya bagus, tempatnya jg nyaman buat family time. Makanannya jg enaak;['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'jg', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'jg', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'juga', 'nyaman', 'buat', 'family', 'time', 'makanannya', 'juga', 'enaak'];['viewnya', 'bagus', 'tempatnya', 'nyaman', 'family', 'time', 'makanannya', 'enaak'];['viewnya', 'bagus', 'tempat', 'nyaman', 'family', 'time', 'makan', 'enaak']
22;22;Air terjun toroan;Negatif;Tempatnya bagus gaes y, apalagi klo lgi bukan musim penghujan,,, klo lgi musim hujan airnya coklat gk bening gaesss...;['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'y', 'apalagi', 'klo', 'lgi', 'bukan', 'musim', 'penghujan', 'klo', 'lgi', 'musim', 'hujan', 'airnya', 'coklat', 'gk', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'ya', 'apalagi', 'kalo', 'lagi', 'bukan', 'musim', 'penghujan', 'kalo', 'lagi', 'musim', 'hujan', 'airnya', 'coklat', 'enggak', 'bening', 'gaesss'];['tempatnya', 'bagus', 'gaes', 'musim', 'penghujan', 'musim', 'hujan', 'airnya', 'coklat', 'bening', 'gaesss'];['tempat', 'bagus', 'gaes', 'musim', 'hujan', 'musim', 'hujan', 'air', 'coklat', 'bening', 'gaesss']
23;23;Air terjun toroan;Negatif;Bagusss sekali... tapi tetap hal yang perlu di perbaiki adalah sampah.. mari kurangi penggunaan plastik. Thanks;['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagusss', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'sekali', 'tapi', 'tetap', 'hal', 'yang', 'perlu', 'di', 'perbaiki', 'adalah', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'perbaiki', 'sampah', 'mari', 'kurangi', 'penggunaan', 'plastik', 'thanks'];['bagus', 'baik', 'sampah', 'mari', 'kurang', 'guna', 'plastik', 'thanks']
24;24;Air terjun toroan;Positif;Tempat santai bersama  kelurga dan kerabat. Dengan nuasa alam yang sangat indah dipandang..;['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['tempat', 'santai', 'bersama', 'kelurga', 'dan', 'kerabat', 'dengan', 'nuasa', 'alam', 'yang', 'sangat', 'indah', 'dipandang'];['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'dipandang'];['santai', 'kelurga', 'kerabat', 'nuasa', 'alam', 'indah', 'pandang']
25;25;Air terjun toroan;Negatif;"Tempat Yang Indah....😍😍😍
Tapi Kebersihan Sedikit Perlu/Kurang Terjaga...🙏🙏🙏 …";['tempat', 'yang', 'indah😍😍😍', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga🙏🙏🙏', '…'];['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga', ''];['tempat', 'yang', 'indah', 'tapi', 'kebersihan', 'sedikit', 'perlukurang', 'terjaga', ''];['indah', 'kebersihan', 'perlukurang', 'terjaga', ''];['indah', 'bersih', 'perlukurang', 'jaga', '']
26;26;Air terjun toroan;Netral;Pastikan klo mo kesini pas air lgi pasang, lebih keren.;['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren'];['pastikan', 'klo', 'mo', 'kesini', 'pas', 'air', 'lgi', 'pasang', 'lebih', 'keren'];['pastikan', 'kalo', 'mau', 'kesini', 'pas', 'air', 'lagi', 'pasang', 'lebih', 'keren'];['pastikan', 'kesini', 'pas', 'air', 'pasang', 'keren'];['pasti', 'kesini', 'pas', 'air', 'pasang', 'keren']
27;27;Air terjun toroan;Positif;tempatnya bagus...cocok untuk wisata keluarga;['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'baguscocok', 'untuk', 'wisata', 'keluarga'];['tempatnya', 'baguscocok', 'wisata', 'keluarga'];['tempat', 'baguscocok', 'wisata', 'keluarga']
28;28;Air terjun toroan;Positif;Sangat indah, dan cocok banget bagi para wisatawan yang ingin memanjakan mata untuk melihat pemandangan yang sangat indah, karena air terjunnya beda bukan di pegunungan tapi di tepi pantai.;['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['sangat', 'indah', 'dan', 'cocok', 'banget', 'bagi', 'para', 'wisatawan', 'yang', 'ingin', 'memanjakan', 'mata', 'untuk', 'melihat', 'pemandangan', 'yang', 'sangat', 'indah', 'karena', 'air', 'terjunnya', 'beda', 'bukan', 'di', 'pegunungan', 'tapi', 'di', 'tepi', 'pantai'];['indah', 'cocok', 'banget', 'wisatawan', 'memanjakan', 'mata', 'pemandangan', 'indah', 'air', 'terjunnya', 'beda', 'pegunungan', 'tepi', 'pantai'];['indah', 'cocok', 'banget', 'wisatawan', 'manja', 'mata', 'pandang', 'indah', 'air', 'terjun', 'beda', 'gunung', 'tepi', 'pantai']
29;29;Air terjun toroan;Negatif;Bagus viewnya, hanya saja tulisan Toroan nya yg dibuat terlalu dekat dengan air terjun, untuj fotografer yg ingin capture air terjun jadi terganggu dengan icon tulisan itu, toilet tersedia;['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yg', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yg', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yg', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yg', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'hanya', 'saja', 'tulisan', 'toroan', 'nya', 'yang', 'dibuat', 'terlalu', 'dekat', 'dengan', 'air', 'terjun', 'untuj', 'fotografer', 'yang', 'ingin', 'capture', 'air', 'terjun', 'jadi', 'terganggu', 'dengan', 'icon', 'tulisan', 'itu', 'toilet', 'tersedia'];['bagus', 'viewnya', 'tulisan', 'toroan', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'terganggu', 'icon', 'tulisan', 'toilet', 'tersedia'];['bagus', 'viewnya', 'tulis', 'toro', 'air', 'terjun', 'untuj', 'fotografer', 'capture', 'air', 'terjun', 'ganggu', 'icon', 'tulis', 'toilet', 'sedia']
30;30;Air terjun toroan;Positif;Emang tak s alami n sbagus yg dulu tp ttp eksotik n nyaman buat bersantai..tiket masuk 5 rb k lokasi air terjun...;['emang', 'tak', 's', 'alami', 'n', 'sbagus', 'yg', 'dulu', 'tp', 'ttp', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', '5', 'rb', 'k', 'lokasi', 'air', 'terjun'];['emang', 'tak', 's', 'alami', 'n', 'sbagus', 'yg', 'dulu', 'tp', 'ttp', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', '', 'rb', 'k', 'lokasi', 'air', 'terjun'];['memang', 'tak', 'si', 'alami', 'n', 'sbagus', 'yang', 'dulu', 'tapi', 'tetap', 'eksotik', 'n', 'nyaman', 'buat', 'bersantaitiket', 'masuk', '', 'ribu', 'ke', 'lokasi', 'air', 'terjun'];['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantaitiket', 'masuk', '', 'ribu', 'lokasi', 'air', 'terjun'];['alami', 'sbagus', 'eksotik', 'nyaman', 'bersantaitiket', 'masuk', '', 'ribu', 'lokasi', 'air', 'terjun']
