,Sentimen
178,Positif
179,Positif
180,Positif
181,Positif
182,Negatif
183,Positif
184,Positif
185,Positif
186,Positif
187,Positif
188,Positif
189,Positif
190,Positif
191,Positif
192,Positif
193,Positif
194,Positif
195,Positif
196,Positif
197,Positif
198,Positif
199,Positif
200,Positif
201,Positif
202,Positif
203,Positif
204,Negatif
205,Positif
206,Positif
207,Positif
208,Positif
209,Negatif
210,Positif
211,Positif
212,Positif
213,Positif
214,Positif
215,Positif
216,Positif
217,Positif
218,Positif
219,Positif
220,Positif
221,Positif
222,Positif
223,Positif
224,Positif
225,Positif
226,Positif
227,Positif
228,Positif
229,Positif
230,Positif
231,Positif
232,Positif
233,Positif
234,Positif
235,Negatif
236,Positif
237,Positif
238,Positif
239,Negatif
240,Positif
241,Positif
242,Positif
243,Positif
244,Positif
245,Positif
246,Positif
247,Negatif
248,Positif
249,Positif
250,Positif
251,Positif
252,Positif
253,Positif
254,Positif
255,Positif
256,Positif
257,Positif
258,Positif
259,Positif
260,Positif
261,Positif
262,Positif
263,Positif
264,Positif
265,Positif
266,Negatif
267,Positif
268,Positif
269,Positif
270,Positif
271,Positif
272,Positif
273,Positif
274,Positif
275,Positif
276,Positif
277,Positif
278,Positif
279,Positif
280,Positif
281,Positif
282,Positif
283,Positif
284,Positif
285,Positif
286,Positif
287,Positif
288,Positif
289,Positif
290,Positif
291,Negatif
292,Positif
293,Positif
294,Negatif
295,Positif
296,Positif
297,Positif
298,Positif
299,Positif
300,Positif
301,Positif
302,Positif
303,Positif
304,Positif
305,Positif
306,Positif
307,Negatif
308,Positif
309,Positif
310,Positif
311,Positif
312,Positif
313,Positif
314,Positif
315,Positif
316,Positif
317,Positif
318,Positif
319,Positif
320,Positif
321,Positif
322,Positif
323,Positif
324,Positif
325,Positif
326,Positif
327,Positif
328,Positif
329,Positif
330,Positif
331,Positif
332,Positif
333,Positif
334,Positif
335,Positif
336,Positif
337,Positif
338,Positif
339,Positif
340,Positif
341,Positif
342,Positif
343,Positif
344,Negatif
345,Positif
346,Positif
347,Positif
348,Positif
349,Positif
350,Positif
351,Positif
352,Positif
353,Positif
354,Positif
355,Positif
356,Positif
357,Positif
358,Positif
359,Positif
360,Negatif
361,Positif
362,Positif
363,Positif
364,Positif
365,Positif
366,Positif
367,Positif
368,Positif
369,Positif
370,Positif
371,Negatif
372,Positif
373,Positif
374,Positif
375,Positif
376,Positif
377,Positif
378,Positif
379,Positif
380,Positif
381,Positif
382,Positif
383,Positif
384,Positif
385,Positif
386,Positif
387,Positif
388,Positif
389,Positif
390,Positif
391,Positif
392,Positif
393,Positif
394,Positif
395,Negatif
396,Positif
397,Positif
398,Positif
399,Positif
400,Positif
401,Positif
402,Positif
403,Negatif
404,Positif
405,Positif
406,Negatif
407,Positif
408,Positif
409,Positif
410,Positif
411,Positif
412,Positif
413,Negatif
414,Negatif
415,Negatif
416,Positif
417,Positif
418,Positif
419,Positif
420,Negatif
421,Positif
422,Positif
423,Positif
424,Negatif
425,Positif
426,Positif
427,Positif
428,Positif
429,Positif
430,Positif
431,Positif
432,Positif
433,Positif
434,Positif
435,Negatif
436,Positif
437,Negatif
438,Positif
439,Positif
440,Positif
441,Positif
442,Positif
443,Positif
444,Positif
445,Positif
446,Positif
447,Positif
448,Positif
449,Positif
450,Negatif
451,Positif
452,Positif
453,Positif
454,Positif
455,Positif
456,Negatif
457,Positif
458,Positif
459,Positif
460,Negatif
461,Positif
462,Positif
463,Positif
464,Positif
465,Positif
466,Positif
467,Positif
468,Positif
469,Positif
470,Positif
471,Positif
472,Positif
473,Positif
474,Positif
475,Positif
476,Positif
477,Positif
478,Positif
479,Positif
480,Positif
481,Positif
482,Negatif
483,Positif
484,Positif
485,Positif
486,Positif
487,Positif
488,Positif
489,Positif
490,Positif
491,Positif
492,Positif
493,Negatif
494,Positif
495,Positif
496,Positif
497,Positif
498,Positif
499,Positif
500,Positif
501,Positif
502,Positif
503,Positif
504,Positif
505,Negatif
506,Positif
507,Positif
508,Positif
509,Positif
510,Positif
511,Positif
512,Positif
513,Positif
514,Positif
515,Positif
516,Positif
517,Positif
518,Positif
519,Positif
520,Positif
521,Positif
522,Positif
523,Positif
524,Positif
525,Positif
526,Positif
527,Positif
528,Positif
529,Positif
530,Positif
531,Positif
532,Positif
533,Positif
534,Positif
535,Positif
536,Positif
537,Positif
538,Positif
539,Positif
540,Positif
541,Positif
542,Positif
543,Negatif
544,Positif
545,Positif
546,Positif
547,Positif
548,Positif
549,Positif
550,Positif
551,Positif
552,Positif
553,Positif
554,Positif
555,Positif
556,Positif
557,Positif
558,Positif
559,Positif
560,Positif
561,Positif
562,Positif
563,Positif
564,Positif
565,Positif
566,Positif
567,Positif
568,Positif
569,Positif
570,Positif
571,Positif
572,Positif
573,Positif
574,Negatif
575,Positif
576,Positif
577,Positif
578,Positif
579,Positif
580,Positif
581,Positif
582,Positif
583,Positif
584,Positif
585,Positif
586,Positif
587,Positif
588,Positif
589,Positif
590,Positif
591,Negatif
592,Positif
593,Positif
594,Positif
595,Positif
596,Positif
597,Positif
598,Positif
599,Positif
600,Positif
601,Positif
602,Positif
603,Positif
604,Positif
605,Positif
606,Positif
607,Positif
608,Positif
609,Positif
610,Positif
611,Positif
612,Positif
613,Positif
614,Positif
615,Negatif
616,Positif
617,Positif
618,Positif
619,Positif
620,Positif
621,Positif
622,Positif
623,Positif
624,Negatif
625,Positif
626,Positif
627,Positif
628,Positif
629,Positif
630,Positif
631,Positif
632,Positif
633,Positif
634,Positif
635,Positif
636,Positif
637,Positif
638,Positif
639,Positif
640,Positif
641,Positif
642,Positif
643,Negatif
644,Positif
645,Positif
646,Positif
647,Positif
648,Negatif
649,Positif
650,Positif
651,Positif
652,Positif
653,Positif
654,Positif
655,Positif
656,Positif
657,Positif
658,Negatif
659,Positif
660,Negatif
661,Positif
662,Positif
663,Positif
664,Positif
665,Positif
666,Positif
667,Positif
668,Positif
669,Positif
670,Positif
671,Positif
672,Positif
673,Positif
674,Positif
675,Positif
676,Positif
677,Positif
678,Positif
679,Positif
680,Positif
681,Positif
682,Positif
683,Positif
684,Positif
685,Positif
686,Positif
687,Positif
688,Positif
689,Positif
690,Positif
691,Positif
692,Positif
693,Positif
694,Positif
695,Positif
696,Positif
697,Positif
698,Positif
699,Positif
700,Positif
701,Positif
702,Positif
703,Positif
704,Positif
705,Positif
706,Positif
707,Positif
708,Positif
709,Positif
710,Positif
711,Positif
712,Positif
713,Positif
714,Positif
715,Positif
716,Positif
717,Positif
718,Positif
719,Positif
720,Positif
721,Negatif
722,Positif
723,Positif
724,Positif
725,Positif
726,Positif
727,Positif
728,Positif
729,Positif
730,Positif
731,Positif
732,Positif
733,Positif
734,Positif
735,Positif
736,Positif
