,Sentimen
217,Positif
218,Positif
219,Negatif
220,Positif
221,Negatif
222,Positif
223,Negatif
224,Positif
225,Positif
226,Positif
227,Positif
228,Positif
229,Positif
230,Positif
231,Positif
232,Positif
233,Positif
234,Positif
235,Positif
236,Positif
237,Negatif
238,Positif
239,Negatif
240,Negatif
241,Positif
242,Positif
243,Positif
244,Positif
245,Negatif
246,Positif
247,Negatif
248,Positif
249,Positif
250,Positif
251,Positif
252,Positif
253,Positif
254,Negatif
255,Negatif
256,Positif
257,Positif
258,Positif
259,Positif
260,Positif
261,Positif
262,Positif
263,Positif
264,Positif
265,Positif
266,Positif
267,Positif
268,Positif
269,Negatif
270,Positif
271,Positif
272,Positif
273,Negatif
274,Positif
275,Negatif
276,Positif
277,Positif
278,Negatif
279,Positif
280,Positif
281,Positif
282,Positif
283,Positif
284,Positif
285,Positif
286,Negatif
287,Positif
288,Positif
289,Positif
290,Negatif
291,Positif
292,Negatif
293,Positif
294,Positif
295,Negatif
296,Positif
297,Positif
298,Positif
299,Positif
300,Negatif
301,Positif
302,Positif
303,Negatif
304,Positif
305,Positif
306,Positif
307,Positif
308,Positif
309,Positif
310,Positif
311,Negatif
312,Positif
313,Positif
314,Positif
315,Positif
316,Positif
317,Positif
318,Positif
319,Positif
320,Positif
321,Positif
322,Positif
323,Positif
324,Positif
325,Negatif
326,Positif
327,Negatif
328,Positif
329,Negatif
330,Positif
331,Positif
332,Positif
333,Positif
334,Positif
335,Positif
336,Positif
337,Positif
338,Positif
339,Positif
340,Positif
341,Positif
342,Negatif
343,Positif
344,Negatif
345,Positif
346,Positif
347,Positif
348,Positif
349,Positif
350,Positif
351,Positif
352,Positif
353,Positif
354,Negatif
355,Positif
356,Negatif
357,Positif
358,Negatif
359,Positif
360,Negatif
361,Positif
362,Negatif
363,Positif
364,Positif
365,Positif
366,Positif
367,Negatif
368,Positif
369,Positif
370,Positif
371,Negatif
372,Negatif
373,Positif
374,Positif
375,Positif
376,Positif
377,Positif
378,Negatif
379,Negatif
380,Positif
381,Positif
382,Positif
383,Positif
384,Positif
385,Positif
386,Positif
387,Positif
388,Positif
389,Positif
390,Positif
391,Positif
392,Positif
393,Positif
394,Positif
395,Positif
396,Positif
397,Positif
398,Positif
399,Positif
400,Positif
401,Negatif
402,Positif
403,Positif
404,Negatif
405,Negatif
406,Positif
407,Positif
408,Positif
409,Positif
410,Positif
411,Positif
412,Positif
413,Positif
414,Negatif
415,Positif
416,Positif
417,Positif
418,Positif
419,Positif
420,Negatif
421,Positif
422,Negatif
423,Negatif
424,Positif
425,Positif
426,Negatif
427,Negatif
428,Positif
429,Positif
430,Negatif
431,Positif
432,Negatif
433,Positif
434,Positif
435,Positif
436,Positif
437,Negatif
438,Positif
439,Positif
440,Positif
441,Negatif
442,Negatif
443,Negatif
444,Positif
445,Positif
446,Positif
447,Positif
448,Positif
449,Negatif
450,Positif
451,Positif
452,Positif
453,Positif
454,Positif
455,Positif
456,Positif
457,Positif
458,Positif
459,Positif
460,Positif
461,Positif
462,Positif
463,Positif
464,Positif
465,Positif
466,Positif
467,Positif
468,Positif
469,Positif
470,Positif
471,Positif
472,Positif
473,Positif
474,Positif
475,Positif
476,Negatif
477,Positif
478,Negatif
479,Negatif
480,Positif
481,Negatif
482,Negatif
483,Positif
484,Positif
485,Positif
486,Positif
487,Positif
488,Positif
489,Positif
490,Positif
491,Positif
492,Positif
493,Positif
494,Positif
495,Negatif
496,Positif
497,Positif
498,Positif
499,Positif
500,Positif
501,Positif
502,Positif
503,Positif
504,Positif
505,Positif
506,Positif
507,Negatif
508,Positif
509,Negatif
510,Negatif
511,Positif
512,Positif
513,Positif
514,Positif
515,Positif
516,Positif
517,Positif
518,Positif
519,Negatif
520,Positif
521,Positif
522,Positif
523,Positif
524,Positif
525,Negatif
526,Positif
527,Positif
528,Positif
529,Positif
530,Negatif
531,Negatif
532,Positif
533,Positif
534,Positif
535,Positif
536,Positif
537,Positif
538,Positif
539,Negatif
540,Positif
541,Positif
542,Positif
543,Negatif
544,Positif
545,Positif
546,Negatif
547,Positif
548,Positif
549,Positif
550,Positif
551,Positif
552,Negatif
553,Positif
554,Positif
555,Positif
556,Negatif
557,Positif
558,Positif
559,Positif
560,Positif
561,Positif
562,Positif
563,Positif
564,Positif
565,Positif
566,Positif
567,Negatif
568,Positif
569,Positif
570,Positif
571,Positif
572,Positif
573,Negatif
574,Negatif
575,Positif
576,Positif
577,Positif
578,Positif
579,Negatif
580,Positif
581,Positif
582,Positif
583,Positif
584,Positif
585,Positif
586,Positif
587,Positif
588,Positif
589,Positif
590,Positif
591,Positif
592,Negatif
593,Positif
594,Positif
595,Positif
596,Positif
597,Negatif
598,Positif
599,Positif
600,Positif
601,Positif
602,Negatif
603,Negatif
604,Positif
605,Positif
606,Positif
607,Negatif
608,Positif
609,Positif
610,Positif
611,Positif
612,Positif
613,Positif
614,Negatif
615,Positif
616,Positif
617,Positif
618,Positif
619,Positif
620,Positif
621,Positif
622,Positif
623,Negatif
624,Positif
625,Positif
626,Positif
627,Positif
628,Positif
629,Positif
630,Positif
631,Positif
632,Negatif
633,Negatif
634,Positif
635,Positif
636,Positif
637,Positif
638,Positif
639,Positif
640,Positif
641,Positif
642,Positif
643,Positif
644,Positif
645,Positif
646,Positif
647,Positif
648,Positif
649,Positif
650,Positif
651,Positif
652,Positif
653,Positif
654,Positif
655,Positif
656,Positif
657,Negatif
658,Positif
659,Positif
660,Positif
661,Positif
662,Positif
663,Positif
664,Negatif
665,Positif
666,Positif
667,Positif
668,Positif
669,Positif
670,Negatif
671,Positif
672,Positif
673,Positif
674,Positif
675,Positif
676,Negatif
677,Positif
678,Positif
679,Positif
680,Positif
681,Negatif
682,Positif
683,Positif
684,Positif
685,Positif
686,Negatif
687,Positif
688,Positif
689,Positif
690,Positif
691,Positif
692,Positif
693,Negatif
694,Negatif
695,Positif
696,Positif
697,Positif
698,Positif
699,Negatif
700,Positif
701,Positif
702,Positif
703,Positif
704,Positif
705,Positif
706,Positif
707,Negatif
708,Positif
709,Positif
710,Positif
711,Positif
712,Positif
713,Positif
714,Positif
715,Negatif
716,Positif
717,Positif
718,Positif
719,Positif
720,Positif
721,Positif
722,Positif
723,Positif
724,Positif
725,Positif
726,Positif
727,Positif
728,Positif
729,Positif
730,Positif
731,Positif
732,Positif
733,Positif
734,Positif
735,Positif
736,Negatif
737,Positif
738,Negatif
739,Negatif
740,Positif
741,Negatif
742,Negatif
743,Negatif
744,Negatif
745,Positif
746,Positif
747,Positif
748,Positif
749,Negatif
750,Positif
751,Negatif
752,Positif
753,Positif
754,Negatif
755,Positif
756,Positif
757,Positif
758,Positif
759,Positif
760,Positif
761,Positif
762,Negatif
763,Positif
764,Positif
765,Positif
766,Positif
767,Positif
768,Positif
769,Positif
770,Positif
771,Negatif
772,Negatif
773,Negatif
774,Positif
775,Negatif
776,Positif
777,Positif
778,Negatif
779,Positif
780,Positif
