	user	waktu	Sentimen	lokasi	komentar	clean	tokenize	slankword	stopword	stemming
179	HENDRA KURNIAWAN	4 bulan lalu	Positif	Bukit Jaddhih	Wisata lokal yg indah, pemanfaatan tambang batu kapur menjadi wisata.. Ada goa buatan.. Bisa lihat sunset di puncak tebing	Wisata lokal yg indah pemanfaatan tambang batu kapur menjadi wisata Ada goa buatan Bisa lihat sunset di puncak tebing	['wisata', 'lokal', 'yg', 'indah', 'pemanfaatan', 'tambang', 'batu', 'kapur', 'menjadi', 'wisata', 'ada', 'goa', 'buatan', 'bisa', 'lihat', 'sunset', 'di', 'puncak', 'tebing']	['wisata', 'lokal', 'yang', 'indah', 'pemanfaatan', 'tambang', 'batu', 'kapur', 'menjadi', 'wisata', 'ada', 'goa', 'buatan', 'bisa', 'lihat', 'sunset', 'di', 'puncak', 'tebing']	['wisata', 'lokal', 'indah', 'pemanfaatan', 'tambang', 'batu', 'kapur', 'wisata', 'goa', 'buatan', 'lihat', 'sunset', 'puncak', 'tebing']	['wisata', 'lokal', 'indah', 'manfaat', 'tambang', 'batu', 'kapur', 'wisata', 'goa', 'buat', 'lihat', 'sunset', 'puncak', 'tebing']
180	Himmatul Azizah Almina	5 tahun lalu	Negatif	Bukit Jaddhih	Tidak direkomendasikan kesana dalam minggu minggu ini, karena kolamnya lagi dikuras, sangat mengecewakan pokoknya. Apalagi penjaga tiketnya nggak ngomong pula, udah bayar 5rb per orang tapi kolamnya gaada. Cuma bisa liat bapak bapak lagi …	Tidak direkomendasikan kesana dalam minggu minggu ini karena kolamnya lagi dikuras sangat mengecewakan pokoknya Apalagi penjaga tiketnya nggak ngomong pula udah bayar rb per orang tapi kolamnya gaada Cuma bisa liat bapak bapak lagi	['tidak', 'direkomendasikan', 'kesana', 'dalam', 'minggu', 'minggu', 'ini', 'karena', 'kolamnya', 'lagi', 'dikuras', 'sangat', 'mengecewakan', 'pokoknya', 'apalagi', 'penjaga', 'tiketnya', 'nggak', 'ngomong', 'pula', 'udah', 'bayar', 'rb', 'per', 'orang', 'tapi', 'kolamnya', 'gaada', 'cuma', 'bisa', 'liat', 'bapak', 'bapak', 'lagi']	['tidak', 'direkomendasikan', 'kesana', 'dalam', 'minggu', 'minggu', 'ini', 'karena', 'kolamnya', 'lagi', 'dikuras', 'sangat', 'mengecewakan', 'pokoknya', 'apalagi', 'penjaga', 'tiketnya', 'enggak', 'mengomong', 'pula', 'sudah', 'bayar', 'ribu', 'per', 'orang', 'tapi', 'kolamnya', 'enggak ada', 'cuma', 'bisa', 'lihat', 'bapak', 'bapak', 'lagi']	['direkomendasikan', 'kesana', 'minggu', 'minggu', 'kolamnya', 'dikuras', 'mengecewakan', 'pokoknya', 'penjaga', 'tiketnya', 'mengomong', 'bayar', 'ribu', 'orang', 'kolamnya', 'enggak ada', 'lihat']	['rekomendasi', 'kesana', 'minggu', 'minggu', 'kolam', 'kuras', 'kecewa', 'pokok', 'jaga', 'tiket', 'omong', 'bayar', 'ribu', 'orang', 'kolam', 'enggak ada', 'lihat']
181	anti ahsanti	4 tahun lalu	Positif	Bukit Jaddhih	Aslinya ini kan tempat penambangan batu kapur. Tapi jadi tempat wisata karena lokasi bekas hasil penambangan nya jadi epic. Banyak spot foto yang bagus sih disini. Kalau mau eksplore madura coba juga buat wisata kesini.	Aslinya ini kan tempat penambangan batu kapur Tapi jadi tempat wisata karena lokasi bekas hasil penambangan nya jadi epic Banyak spot foto yang bagus sih disini Kalau mau eksplore madura coba juga buat wisata kesini	['aslinya', 'ini', 'kan', 'tempat', 'penambangan', 'batu', 'kapur', 'tapi', 'jadi', 'tempat', 'wisata', 'karena', 'lokasi', 'bekas', 'hasil', 'penambangan', 'nya', 'jadi', 'epic', 'banyak', 'spot', 'foto', 'yang', 'bagus', 'sih', 'disini', 'kalau', 'mau', 'eksplore', 'madura', 'coba', 'juga', 'buat', 'wisata', 'kesini']	['aslinya', 'ini', 'kan', 'tempat', 'penambangan', 'batu', 'kapur', 'tapi', 'jadi', 'tempat', 'wisata', 'karena', 'lokasi', 'bekas', 'hasil', 'penambangan', 'nya', 'jadi', 'epic', 'banyak', 'spot', 'foto', 'yang', 'bagus', 'sih', 'disini', 'kalau', 'mau', 'eksplore', 'madura', 'coba', 'juga', 'buat', 'wisata', 'kesini']	['aslinya', 'penambangan', 'batu', 'kapur', 'wisata', 'lokasi', 'bekas', 'hasil', 'penambangan', 'epic', 'spot', 'foto', 'bagus', 'eksplore', 'madura', 'coba', 'wisata', 'kesini']	['asli', 'tambang', 'batu', 'kapur', 'wisata', 'lokasi', 'bekas', 'hasil', 'tambang', 'epic', 'spot', 'foto', 'bagus', 'eksplore', 'madura', 'coba', 'wisata', 'kesini']
182	Vincentia Ayu	5 tahun lalu	Positif	Bukit Jaddhih	Nice view. Kalo dikelola dengan baik pasti keren. Pas kesini kebetulan lewat Burneh (cmiiw), jd lewat jalan yang ga terlalu lebar. Kiri kanan masih sawah2, menyenangkan lihatnya buat orang spt saya yg tiap hari liat layar komputer. Trus mendekati Jadih hill lewat perkampungan gitu, sampe akhirnya sampe ke bukit kapurnya.	Nice view Kalo dikelola dengan baik pasti keren Pas kesini kebetulan lewat Burneh cmiiw jd lewat jalan yang ga terlalu lebar Kiri kanan masih sawah menyenangkan lihatnya buat orang spt saya yg tiap hari liat layar komputer Trus mendekati Jadih hill lewat perkampungan gitu sampe akhirnya sampe ke bukit kapurnya	['nice', 'view', 'kalo', 'dikelola', 'dengan', 'baik', 'pasti', 'keren', 'pas', 'kesini', 'kebetulan', 'lewat', 'burneh', 'cmiiw', 'jd', 'lewat', 'jalan', 'yang', 'ga', 'terlalu', 'lebar', 'kiri', 'kanan', 'masih', 'sawah', 'menyenangkan', 'lihatnya', 'buat', 'orang', 'spt', 'saya', 'yg', 'tiap', 'hari', 'liat', 'layar', 'komputer', 'trus', 'mendekati', 'jadih', 'hill', 'lewat', 'perkampungan', 'gitu', 'sampe', 'akhirnya', 'sampe', 'ke', 'bukit', 'kapurnya']	['nice', 'view', 'kalo', 'dikelola', 'dengan', 'baik', 'pasti', 'keren', 'pas', 'kesini', 'kebetulan', 'lewat', 'burneh', 'cmiiw', 'jadi', 'lewat', 'jalan', 'yang', 'enggak', 'terlalu', 'lebar', 'kiri', 'kanan', 'masih', 'sawah', 'menyenangkan', 'lihatnya', 'buat', 'orang', 'seperti', 'saya', 'yang', 'tiap', 'hari', 'lihat', 'layar', 'komputer', 'terus', 'mendekati', 'jadih', 'hill', 'lewat', 'perkampungan', 'begitu', 'sampai', 'akhirnya', 'sampai', 'ke', 'bukit', 'kapurnya']	['nice', 'view', 'dikelola', 'keren', 'pas', 'kesini', 'burneh', 'cmiiw', 'jalan', 'lebar', 'kiri', 'kanan', 'sawah', 'menyenangkan', 'lihatnya', 'orang', 'lihat', 'layar', 'komputer', 'mendekati', 'jadih', 'hill', 'perkampungan', 'bukit', 'kapurnya']	['nice', 'view', 'kelola', 'keren', 'pas', 'kesini', 'burneh', 'cmiiw', 'jalan', 'lebar', 'kiri', 'kanan', 'sawah', 'senang', 'lihat', 'orang', 'lihat', 'layar', 'komputer', 'dekat', 'jadih', 'hill', 'kampung', 'bukit', 'kapur']
183	slow motion	5 tahun lalu	Positif	Bukit Jaddhih	Cukup exotis...sayang kolam renang ngk ada yg dalam. Maksimal setengah badan orang dewasa...akses jalan tidak terlalu bagus sebaiknya sedan jangan nekat.	Cukup exotissayang kolam renang ngk ada yg dalam Maksimal setengah badan orang dewasaakses jalan tidak terlalu bagus sebaiknya sedan jangan nekat	['cukup', 'exotissayang', 'kolam', 'renang', 'ngk', 'ada', 'yg', 'dalam', 'maksimal', 'setengah', 'badan', 'orang', 'dewasaakses', 'jalan', 'tidak', 'terlalu', 'bagus', 'sebaiknya', 'sedan', 'jangan', 'nekat']	['cukup', 'exotissayang', 'kolam', 'renang', 'enggak', 'ada', 'yang', 'dalam', 'maksimal', 'setengah', 'badan', 'orang', 'dewasaakses', 'jalan', 'tidak', 'terlalu', 'bagus', 'sebaiknya', 'sedan', 'jangan', 'nekat']	['exotissayang', 'kolam', 'renang', 'maksimal', 'badan', 'orang', 'dewasaakses', 'jalan', 'bagus', 'sedan', 'nekat']	['exotissayang', 'kolam', 'renang', 'maksimal', 'badan', 'orang', 'dewasaakses', 'jalan', 'bagus', 'sedan', 'nekat']
184	Triya Hadi Susanto	5 tahun lalu	Positif	Bukit Jaddhih	Tempat yg keren...dri tambang batu kapur...disulap sedimikan rupa jadi tempat wisata...ada kolam renangnya juga....segeerrrrr....seruuu	Tempat yg kerendri tambang batu kapurdisulap sedimikan rupa jadi tempat wisataada kolam renangnya jugasegeerrrrrseruuu	['tempat', 'yg', 'kerendri', 'tambang', 'batu', 'kapurdisulap', 'sedimikan', 'rupa', 'jadi', 'tempat', 'wisataada', 'kolam', 'renangnya', 'jugasegeerrrrrseruuu']	['tempat', 'yang', 'kerendri', 'tambang', 'batu', 'kapurdisulap', 'sedimikan', 'rupa', 'jadi', 'tempat', 'wisataada', 'kolam', 'renangnya', 'jugasegeerrrrrseruuu']	['kerendri', 'tambang', 'batu', 'kapurdisulap', 'sedimikan', 'rupa', 'wisataada', 'kolam', 'renangnya', 'jugasegeerrrrrseruuu']	['kerendri', 'tambang', 'batu', 'kapurdisulap', 'mi', 'rupa', 'wisataada', 'kolam', 'renang', 'jugasegeerrrrrseruuu']
185	Risdiana Dwiwindarti	2 tahun lalu	Positif	Bukit Jaddhih	Dulu ramai,kini sepi krn pendemi,buat pengelola ditambahkan jaring di atas supaya tidak terlalu panas,saya tgl 13 maret 2021,kasihan warung2nya.kurang promosi di medsos pengelolanya	Dulu ramaikini sepi krn pendemibuat pengelola ditambahkan jaring di atas supaya tidak terlalu panassaya tgl  maret kasihan warungnyakurang promosi di medsos pengelolanya	['dulu', 'ramaikini', 'sepi', 'krn', 'pendemibuat', 'pengelola', 'ditambahkan', 'jaring', 'di', 'atas', 'supaya', 'tidak', 'terlalu', 'panassaya', 'tgl', 'maret', 'kasihan', 'warungnyakurang', 'promosi', 'di', 'medsos', 'pengelolanya']	['dulu', 'ramaikini', 'sepi', 'karena', 'pendemibuat', 'pengelola', 'ditambahkan', 'jaring', 'di', 'atas', 'supaya', 'tidak', 'terlalu', 'panassaya', 'tanggal', 'maret', 'kasihan', 'warungnyakurang', 'promosi', 'di', 'medsos', 'pengelolanya']	['ramaikini', 'sepi', 'pendemibuat', 'pengelola', 'jaring', 'panassaya', 'tanggal', 'maret', 'kasihan', 'warungnyakurang', 'promosi', 'medsos', 'pengelolanya']	['ramaikini', 'sepi', 'buat', 'kelola', 'jaring', 'panassaya', 'tanggal', 'maret', 'kasihan', 'warungnyakurang', 'promosi', 'medsos', 'kelola']
186	Galuh Windanti	4 tahun lalu	Negatif	Bukit Jaddhih	Kurang rekomended. Karna pertama aksesibilitas nya kurang. Jalannya sempit dan agak sepi sehingga tidak meyakinkan dan berbahaya menurut saya kalo tidak rame2. Kurang worth it. Tidak jelas informasinya pintu masuknya dan tiba2 ada yang …	Kurang rekomended Karna pertama aksesibilitas nya kurang Jalannya sempit dan agak sepi sehingga tidak meyakinkan dan berbahaya menurut saya kalo tidak rame Kurang worth it Tidak jelas informasinya pintu masuknya dan tiba ada yang	['kurang', 'rekomended', 'karna', 'pertama', 'aksesibilitas', 'nya', 'kurang', 'jalannya', 'sempit', 'dan', 'agak', 'sepi', 'sehingga', 'tidak', 'meyakinkan', 'dan', 'berbahaya', 'menurut', 'saya', 'kalo', 'tidak', 'rame', 'kurang', 'worth', 'it', 'tidak', 'jelas', 'informasinya', 'pintu', 'masuknya', 'dan', 'tiba', 'ada', 'yang']	['kurang', 'rekomended', 'karena', 'pertama', 'aksesibilitas', 'nya', 'kurang', 'jalannya', 'sempit', 'dan', 'agak', 'sepi', 'sehingga', 'tidak', 'meyakinkan', 'dan', 'berbahaya', 'menurut', 'saya', 'kalo', 'tidak', 'rame', 'kurang', 'worth', 'itu', 'tidak', 'jelas', 'informasinya', 'pintu', 'masuknya', 'dan', 'tiba', 'ada', 'yang']	['rekomended', 'aksesibilitas', 'jalannya', 'sempit', 'sepi', 'berbahaya', 'rame', 'worth', 'informasinya', 'pintu', 'masuknya']	['rekomended', 'aksesibilitas', 'jalan', 'sempit', 'sepi', 'bahaya', 'rame', 'worth', 'informasi', 'pintu', 'masuk']
187	zhucheepto	5 tahun lalu	Positif	Bukit Jaddhih	Sangat bagus bukit kapur dan telaga, sayang jalan menuju. Lokasi untuk bus kurang lebar belum didukung fasilitas yg baik	Sangat bagus bukit kapur dan telaga sayang jalan menuju Lokasi untuk bus kurang lebar belum didukung fasilitas yg baik	['sangat', 'bagus', 'bukit', 'kapur', 'dan', 'telaga', 'sayang', 'jalan', 'menuju', 'lokasi', 'untuk', 'bus', 'kurang', 'lebar', 'belum', 'didukung', 'fasilitas', 'yg', 'baik']	['sangat', 'bagus', 'bukit', 'kapur', 'dan', 'telaga', 'sayang', 'jalan', 'menuju', 'lokasi', 'untuk', 'bus', 'kurang', 'lebar', 'belum', 'didukung', 'fasilitas', 'yang', 'baik']	['bagus', 'bukit', 'kapur', 'telaga', 'sayang', 'jalan', 'lokasi', 'bus', 'lebar', 'didukung', 'fasilitas']	['bagus', 'bukit', 'kapur', 'telaga', 'sayang', 'jalan', 'lokasi', 'bus', 'lebar', 'dukung', 'fasilitas']
188	Septhia Dwi	setahun lalu	Positif	Bukit Jaddhih	"Spot foto instgramable banget. Semua tempat bisa dijadiin spot foto.
Ada 2x bayar. Yg pertama waktu masuk awal kawasan perkendaraan beda2.
Yg kedua mau masuk danau(yg cuma ada pas hujan) bayarnya diitung perorangan.
Kesana sore jadi gk panas."	Spot foto instgramable banget Semua tempat bisa dijadiin spot fotoAda x bayar Yg pertama waktu masuk awal kawasan perkendaraan bedaYg kedua mau masuk danauyg cuma ada pas hujan bayarnya diitung peroranganKesana sore jadi gk panas	['spot', 'foto', 'instgramable', 'banget', 'semua', 'tempat', 'bisa', 'dijadiin', 'spot', 'fotoada', 'x', 'bayar', 'yg', 'pertama', 'waktu', 'masuk', 'awal', 'kawasan', 'perkendaraan', 'bedayg', 'kedua', 'mau', 'masuk', 'danauyg', 'cuma', 'ada', 'pas', 'hujan', 'bayarnya', 'diitung', 'perorangankesana', 'sore', 'jadi', 'gk', 'panas']	['spot', 'foto', 'instgramable', 'banget', 'semua', 'tempat', 'bisa', 'dijadikan', 'spot', 'fotoada', 'kali', 'bayar', 'yang', 'pertama', 'waktu', 'masuk', 'awal', 'kawasan', 'perkendaraan', 'bedayg', 'kedua', 'mau', 'masuk', 'danauyg', 'cuma', 'ada', 'pas', 'hujan', 'bayarnya', 'diitung', 'perorangankesana', 'sore', 'jadi', 'enggak', 'panas']	['spot', 'foto', 'instgramable', 'banget', 'dijadikan', 'spot', 'fotoada', 'kali', 'bayar', 'masuk', 'kawasan', 'perkendaraan', 'bedayg', 'masuk', 'danauyg', 'pas', 'hujan', 'bayarnya', 'diitung', 'perorangankesana', 'sore', 'panas']	['spot', 'foto', 'instgramable', 'banget', 'jadi', 'spot', 'fotoada', 'kali', 'bayar', 'masuk', 'kawasan', 'kendara', 'bedayg', 'masuk', 'danauyg', 'pas', 'hujan', 'bayar', 'diitung', 'perorangankesana', 'sore', 'panas']
189	Putri Belqis Rafidah	setahun lalu	Positif	Bukit Jaddhih	Jalan menuru lokasi tdk terlalu luas, masuk desa2. Saat kesana cuaca mendung jadi tdk panas.	Jalan menuru lokasi tdk terlalu luas masuk desa Saat kesana cuaca mendung jadi tdk panas	['jalan', 'menuru', 'lokasi', 'tdk', 'terlalu', 'luas', 'masuk', 'desa', 'saat', 'kesana', 'cuaca', 'mendung', 'jadi', 'tdk', 'panas']	['jalan', 'menuru', 'lokasi', 'tidak', 'terlalu', 'luas', 'masuk', 'desa', 'saat', 'kesana', 'cuaca', 'mendung', 'jadi', 'tidak', 'panas']	['jalan', 'menuru', 'lokasi', 'luas', 'masuk', 'desa', 'kesana', 'cuaca', 'mendung', 'panas']	['jalan', 'menuru', 'lokasi', 'luas', 'masuk', 'desa', 'kesana', 'cuaca', 'mendung', 'panas']
190	Denny Hamonangan Chan	4 tahun lalu	Negatif	Bukit Jaddhih	"Bukit kapur biasa, tak ada yang spesial. Objek yg ""dijual"" hanya bekas gua2 dan lubang penambangan. Selebihnya tak ada yg bisa dinikmati. lokasi lumayan jauh dan jalan kurang begitu baik. Retribusi masyarakat dimana-mana, menambah …"	Bukit kapur biasa tak ada yang spesial Objek yg dijual hanya bekas gua dan lubang penambangan Selebihnya tak ada yg bisa dinikmati lokasi lumayan jauh dan jalan kurang begitu baik Retribusi masyarakat dimanamana menambah	['bukit', 'kapur', 'biasa', 'tak', 'ada', 'yang', 'spesial', 'objek', 'yg', 'dijual', 'hanya', 'bekas', 'gua', 'dan', 'lubang', 'penambangan', 'selebihnya', 'tak', 'ada', 'yg', 'bisa', 'dinikmati', 'lokasi', 'lumayan', 'jauh', 'dan', 'jalan', 'kurang', 'begitu', 'baik', 'retribusi', 'masyarakat', 'dimanamana', 'menambah']	['bukit', 'kapur', 'biasa', 'tak', 'ada', 'yang', 'spesial', 'objek', 'yang', 'dijual', 'hanya', 'bekas', 'gua', 'dan', 'lubang', 'penambangan', 'selebihnya', 'tak', 'ada', 'yang', 'bisa', 'dinikmati', 'lokasi', 'lumayan', 'jauh', 'dan', 'jalan', 'kurang', 'begitu', 'baik', 'retribusi', 'masyarakat', 'dimanamana', 'menambah']	['bukit', 'kapur', 'spesial', 'objek', 'dijual', 'bekas', 'gua', 'lubang', 'penambangan', 'selebihnya', 'dinikmati', 'lokasi', 'lumayan', 'jalan', 'retribusi', 'masyarakat', 'dimanamana', 'menambah']	['bukit', 'kapur', 'spesial', 'objek', 'jual', 'bekas', 'gua', 'lubang', 'tambang', 'lebih', 'nikmat', 'lokasi', 'lumayan', 'jalan', 'retribusi', 'masyarakat', 'dimanamana', 'tambah']
191	harmoko explor	4 tahun lalu	Positif	Bukit Jaddhih	Tidak termanage dengan baik , tiket masuk bayar 2x ... fasilitas minim, bagi penghobi Selfi sangat bagus ,banyak sport foto	Tidak termanage dengan baik tiket masuk bayar x fasilitas minim bagi penghobi Selfi sangat bagus banyak sport foto	['tidak', 'termanage', 'dengan', 'baik', 'tiket', 'masuk', 'bayar', 'x', 'fasilitas', 'minim', 'bagi', 'penghobi', 'selfi', 'sangat', 'bagus', 'banyak', 'sport', 'foto']	['tidak', 'termanage', 'dengan', 'baik', 'tiket', 'masuk', 'bayar', 'kali', 'fasilitas', 'minim', 'bagi', 'penghobi', 'selfi', 'sangat', 'bagus', 'banyak', 'sport', 'foto']	['termanage', 'tiket', 'masuk', 'bayar', 'kali', 'fasilitas', 'minim', 'penghobi', 'selfi', 'bagus', 'sport', 'foto']	['termanage', 'tiket', 'masuk', 'bayar', 'kali', 'fasilitas', 'minim', 'hobi', 'selfi', 'bagus', 'sport', 'foto']
192	MIFTAHUL AFKARINA	3 bulan lalu	Positif	Bukit Jaddhih	Uhuy mantapp	Uhuy mantapp	['uhuy', 'mantapp']	['uhuy', 'mantap']	['uhuy', 'mantap']	['uhuy', 'mantap']
193	Aliya Saf	4 tahun lalu	Positif	Bukit Jaddhih	Tempatnya cocok bagi para penggemar fotografi dan berselfie. Yang kurang yaitu, tempatnya panas, dan jalan menuju tempat ini terbilang agak sulit untuk kendaraan mobil atau bis.	Tempatnya cocok bagi para penggemar fotografi dan berselfie Yang kurang yaitu tempatnya panas dan jalan menuju tempat ini terbilang agak sulit untuk kendaraan mobil atau bis	['tempatnya', 'cocok', 'bagi', 'para', 'penggemar', 'fotografi', 'dan', 'berselfie', 'yang', 'kurang', 'yaitu', 'tempatnya', 'panas', 'dan', 'jalan', 'menuju', 'tempat', 'ini', 'terbilang', 'agak', 'sulit', 'untuk', 'kendaraan', 'mobil', 'atau', 'bis']	['tempatnya', 'cocok', 'bagi', 'para', 'penggemar', 'fotografi', 'dan', 'berselfie', 'yang', 'kurang', 'yaitu', 'tempatnya', 'panas', 'dan', 'jalan', 'menuju', 'tempat', 'ini', 'terbilang', 'agak', 'sulit', 'untuk', 'kendaraan', 'mobil', 'atau', 'bis']	['tempatnya', 'cocok', 'penggemar', 'fotografi', 'berselfie', 'tempatnya', 'panas', 'jalan', 'terbilang', 'sulit', 'kendaraan', 'mobil', 'bis']	['tempat', 'cocok', 'gemar', 'fotografi', 'berselfie', 'tempat', 'panas', 'jalan', 'bilang', 'sulit', 'kendara', 'mobil', 'bis']
194	Desy Erika Permatasari	5 tahun lalu	Positif	Bukit Jaddhih	Tempat ini khusus bagi mereka penikmat alam dan hunting foto dg view yg bagus. Karena disini sebenarnya bukit kapur dan tempat dimana orang-orang menambang kapur. Jangan lupa bawa kacamata hitam atau payung agar tidak terlalu kepanasan dan silau	Tempat ini khusus bagi mereka penikmat alam dan hunting foto dg view yg bagus Karena disini sebenarnya bukit kapur dan tempat dimana orangorang menambang kapur Jangan lupa bawa kacamata hitam atau payung agar tidak terlalu kepanasan dan silau	['tempat', 'ini', 'khusus', 'bagi', 'mereka', 'penikmat', 'alam', 'dan', 'hunting', 'foto', 'dg', 'view', 'yg', 'bagus', 'karena', 'disini', 'sebenarnya', 'bukit', 'kapur', 'dan', 'tempat', 'dimana', 'orangorang', 'menambang', 'kapur', 'jangan', 'lupa', 'bawa', 'kacamata', 'hitam', 'atau', 'payung', 'agar', 'tidak', 'terlalu', 'kepanasan', 'dan', 'silau']	['tempat', 'ini', 'khusus', 'bagi', 'mereka', 'penikmat', 'alam', 'dan', 'hunting', 'foto', 'dengan', 'view', 'yang', 'bagus', 'karena', 'disini', 'sebenarnya', 'bukit', 'kapur', 'dan', 'tempat', 'dimana', 'orangorang', 'menambang', 'kapur', 'jangan', 'lupa', 'bawa', 'kacamata', 'hitam', 'atau', 'payung', 'agar', 'tidak', 'terlalu', 'kepanasan', 'dan', 'silau']	['khusus', 'penikmat', 'alam', 'hunting', 'foto', 'view', 'bagus', 'bukit', 'kapur', 'dimana', 'orangorang', 'menambang', 'kapur', 'lupa', 'bawa', 'kacamata', 'hitam', 'payung', 'kepanasan', 'silau']	['khusus', 'nikmat', 'alam', 'hunting', 'foto', 'view', 'bagus', 'bukit', 'kapur', 'mana', 'orangorang', 'tambang', 'kapur', 'lupa', 'bawa', 'kacamata', 'hitam', 'payung', 'panas', 'silau']
195	Adi Wardoyo	5 tahun lalu	Positif	Bukit Jaddhih	Bukit kapur yang indah dan masih diusahakan untuk dikelola oleh masyarakat. Beberapa waktu mendatang pasti lebih baik lagi karena tempat ini akan dilengkapi jg dengan fasilitas penunjang standar standart supaya wisatawan lebih enjoy dan menikmati keindahan alam jeddih.	Bukit kapur yang indah dan masih diusahakan untuk dikelola oleh masyarakat Beberapa waktu mendatang pasti lebih baik lagi karena tempat ini akan dilengkapi jg dengan fasilitas penunjang standar standart supaya wisatawan lebih enjoy dan menikmati keindahan alam jeddih	['bukit', 'kapur', 'yang', 'indah', 'dan', 'masih', 'diusahakan', 'untuk', 'dikelola', 'oleh', 'masyarakat', 'beberapa', 'waktu', 'mendatang', 'pasti', 'lebih', 'baik', 'lagi', 'karena', 'tempat', 'ini', 'akan', 'dilengkapi', 'jg', 'dengan', 'fasilitas', 'penunjang', 'standar', 'standart', 'supaya', 'wisatawan', 'lebih', 'enjoy', 'dan', 'menikmati', 'keindahan', 'alam', 'jeddih']	['bukit', 'kapur', 'yang', 'indah', 'dan', 'masih', 'diusahakan', 'untuk', 'dikelola', 'oleh', 'masyarakat', 'beberapa', 'waktu', 'mendatang', 'pasti', 'lebih', 'baik', 'lagi', 'karena', 'tempat', 'ini', 'akan', 'dilengkapi', 'juga', 'dengan', 'fasilitas', 'penunjang', 'standar', 'standart', 'supaya', 'wisatawan', 'lebih', 'enjoy', 'dan', 'menikmati', 'keindahan', 'alam', 'jeddih']	['bukit', 'kapur', 'indah', 'diusahakan', 'dikelola', 'masyarakat', 'dilengkapi', 'fasilitas', 'penunjang', 'standar', 'standart', 'wisatawan', 'enjoy', 'menikmati', 'keindahan', 'alam', 'jeddih']	['bukit', 'kapur', 'indah', 'usaha', 'kelola', 'masyarakat', 'lengkap', 'fasilitas', 'tunjang', 'standar', 'standart', 'wisatawan', 'enjoy', 'nikmat', 'indah', 'alam', 'jeddih']
196	Mister Baru	setahun lalu	Positif	Bukit Jaddhih	"Sempat ke goa pote aja
Bukit jaddihnya jarang yang kesana sekarang. Padahal dulu bagus"	Sempat ke goa pote ajaBukit jaddihnya jarang yang kesana sekarang Padahal dulu bagus	['sempat', 'ke', 'goa', 'pote', 'ajabukit', 'jaddihnya', 'jarang', 'yang', 'kesana', 'sekarang', 'padahal', 'dulu', 'bagus']	['sempat', 'ke', 'goa', 'pote', 'ajabukit', 'jaddihnya', 'jarang', 'yang', 'kesana', 'sekarang', 'padahal', 'dulu', 'bagus']	['goa', 'pote', 'ajabukit', 'jaddihnya', 'jarang', 'kesana', 'bagus']	['goa', 'pote', 'ajabukit', 'jaddihnya', 'jarang', 'kesana', 'bagus']
197	cece cookies	3 tahun lalu	Positif	Bukit Jaddhih	"Ga dikelola secara khusus. Mungkin karna emang area pertambangan aktiv ya.. masih ada aktivitas.
Bagus buat spot foto, tapi air kolamnya ga selalu ada. Musim hujan aja ga tentu …"	Ga dikelola secara khusus Mungkin karna emang area pertambangan aktiv ya masih ada aktivitasBagus buat spot foto tapi air kolamnya ga selalu ada Musim hujan aja ga tentu	['ga', 'dikelola', 'secara', 'khusus', 'mungkin', 'karna', 'emang', 'area', 'pertambangan', 'aktiv', 'ya', 'masih', 'ada', 'aktivitasbagus', 'buat', 'spot', 'foto', 'tapi', 'air', 'kolamnya', 'ga', 'selalu', 'ada', 'musim', 'hujan', 'aja', 'ga', 'tentu']	['enggak', 'dikelola', 'secara', 'khusus', 'mungkin', 'karena', 'memang', 'area', 'pertambangan', 'aktiv', 'ya', 'masih', 'ada', 'aktivitasbagus', 'buat', 'spot', 'foto', 'tapi', 'air', 'kolamnya', 'enggak', 'selalu', 'ada', 'musim', 'hujan', 'saja', 'enggak', 'tentu']	['dikelola', 'khusus', 'area', 'pertambangan', 'aktiv', 'aktivitasbagus', 'spot', 'foto', 'air', 'kolamnya', 'musim', 'hujan']	['kelola', 'khusus', 'area', 'tambang', 'aktiv', 'aktivitasbagus', 'spot', 'foto', 'air', 'kolam', 'musim', 'hujan']
